Data,Count,NumeroPostingType,NomePostingType,CompanyId
2018-02-06,22,48,VendSettlement,IT01
2018-02-06,53,64,SalesPckSlipRevenue,IT01
2018-02-06,53,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-02-07,123,14,LedgerJournal,IT01
2018-02-07,8,64,SalesPckSlipRevenue,IT01
2018-02-07,8,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-02-08,2741,14,LedgerJournal,IT01
2018-02-08,48,48,VendSettlement,IT01
2018-02-08,1,64,SalesPckSlipRevenue,IT01
2018-02-08,1,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-02-09,53,4,Tax,IT01
2018-02-09,29,14,LedgerJournal,IT01
2018-02-09,3,20,Bank,IT01
2018-02-09,19,31,CustBalance,IT01
2018-02-09,21,41,VendBalance,IT01
2018-02-09,18,51,SalesRevenue,IT01
2018-02-09,36,64,SalesPckSlipRevenue,IT01
2018-02-09,36,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-02-09,1,83,PurchOffsetAccountPckSlp,IT01
2018-02-09,1,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-02-09,1,236,PurchExpense,IT01
2018-02-09,3,249,BankStatement,IT01
2018-02-12,32,4,Tax,IT01
2018-02-12,2,14,LedgerJournal,IT01
2018-02-12,38,20,Bank,IT01
2018-02-12,23,31,CustBalance,IT01
2018-02-12,4,48,VendSettlement,IT01
2018-02-12,22,51,SalesRevenue,IT01
2018-02-12,44,64,SalesPckSlipRevenue,IT01
2018-02-12,42,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-02-12,28,83,PurchOffsetAccountPckSlp,IT01
2018-02-12,28,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-02-12,38,249,BankStatement,IT01
2018-02-13,13,4,Tax,IT01
2018-02-13,3,14,LedgerJournal,IT01
2018-02-13,6,20,Bank,IT01
2018-02-13,21,31,CustBalance,IT01
2018-02-13,42,40,CustSettlement,IT01
2018-02-13,13,51,SalesRevenue,IT01
2018-02-13,26,64,SalesPckSlipRevenue,IT01
2018-02-13,26,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-02-13,29,83,PurchOffsetAccountPckSlp,IT01
2018-02-13,29,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-02-13,6,249,BankStatement,IT01
2018-02-14,47,4,Tax,IT01
2018-02-14,20,14,LedgerJournal,IT01
2018-02-14,10,20,Bank,IT01
2018-02-14,15,31,CustBalance,IT01
2018-02-14,2,40,CustSettlement,IT01
2018-02-14,33,41,VendBalance,IT01
2018-02-14,34,48,VendSettlement,IT01
2018-02-14,15,51,SalesRevenue,IT01
2018-02-14,30,64,SalesPckSlipRevenue,IT01
2018-02-14,30,65,SalesPckSlipRevenueOffsetAccou,IT01
2018-02-14,19,83,PurchOffsetAccountPckSlp,IT01
2018-02-14,16,203,PurchPckSlpPurchaseOffsetAccou,IT01
2018-02-14,15,236,PurchExpense,IT01
2018-02-14,5,249,BankStatement,IT01
2018-02-15,11,4,Tax,IT01
2018-02-15,27,14,LedgerJournal,IT01
2018-02-15,15,20,Bank,IT01
2018-02-15,8,23,TaxWithhold,IT01
2018-02-15,11,31,CustBalance,IT01
2018-02-15,33,41,VendBalance,IT01
2018-02-15,52,48,VendSettlement,IT01
2018-02-15,14,51,SalesRevenue,IT01
2018-02-15,23,64,SalesPckSlipRevenue,IT01
